auto_candidate,horizon,relation,fib_level,n_baseline,n_expanded,delta,reached_5,reached_10,reached_20,still_low_sample
reaction_candidate,5,above,0.236,2,6,4,True,False,False,False
reaction_candidate,5,above,0.382,1,6,5,True,False,False,False
reaction_candidate,5,above,0.5,1,7,6,True,False,False,False
reaction_candidate,5,above,0.618,1,9,8,True,False,False,False
reaction_candidate,5,above,0.786,0,2,2,False,False,False,True
reaction_candidate,5,above,1,1,6,5,True,False,False,False
reaction_candidate,5,below,0.236,0,3,3,False,False,False,True
reaction_candidate,5,below,0.382,0,1,1,False,False,False,True
reaction_candidate,5,below,0.5,0,2,2,False,False,False,True
reaction_candidate,5,below,0.618,0,4,4,False,False,False,True
reaction_candidate,5,below,0.786,0,3,3,False,False,False,True
reaction_candidate,5,below,1,0,2,2,False,False,False,True
reaction_candidate,5,cross,0.236,1,11,10,True,True,False,False
reaction_candidate,5,cross,0.382,0,10,10,True,True,False,False
reaction_candidate,5,cross,0.5,0,10,10,True,True,False,False
reaction_candidate,5,cross,0.618,0,9,9,True,False,False,False
reaction_candidate,5,cross,0.786,0,2,2,False,False,False,True
reaction_candidate,5,cross,1,0,2,2,False,False,False,True
reaction_candidate,5,touch,0.236,0,18,18,True,True,False,False
reaction_candidate,5,touch,0.382,1,18,17,True,True,False,False
reaction_candidate,5,touch,0.5,1,22,21,True,True,True,False
reaction_candidate,5,touch,0.618,1,14,13,True,True,False,False
reaction_candidate,5,touch,0.786,1,14,13,True,True,False,False
reaction_candidate,5,touch,1,0,13,13,True,True,False,False
reaction_candidate,10,above,0.236,2,6,4,True,False,False,False
reaction_candidate,10,above,0.382,1,6,5,True,False,False,False
reaction_candidate,10,above,0.5,1,7,6,True,False,False,False
reaction_candidate,10,above,0.618,1,9,8,True,False,False,False
reaction_candidate,10,above,0.786,0,2,2,False,False,False,True
reaction_candidate,10,above,1,1,6,5,True,False,False,False
reaction_candidate,10,below,0.236,0,3,3,False,False,False,True
reaction_candidate,10,below,0.382,0,1,1,False,False,False,True
reaction_candidate,10,below,0.5,0,2,2,False,False,False,True
reaction_candidate,10,below,0.618,0,4,4,False,False,False,True
reaction_candidate,10,below,0.786,0,3,3,False,False,False,True
reaction_candidate,10,below,1,0,2,2,False,False,False,True
reaction_candidate,10,cross,0.236,1,11,10,True,True,False,False
reaction_candidate,10,cross,0.382,0,10,10,True,True,False,False
