rank_in_candidate_horizon,sample_flag,auto_candidate,horizon,relation,fib_level,timeframe,n_events,mean_mfe,mean_mae,mean_post_bars_on_break_side,mean_forward_return,rate_close_on_approach_side,rate_crossed_back,mean_post_retest_count,mean_post_remained_near_level_rate,mean_pre_bars_approaching_level,mean_pre_distance_atr_norm,mean_pre_approach_choppiness,mean_at_wick_through_level,mean_at_close_distance_atr_norm
11,ok,continuation_candidate,50,touch,0.382,1d,21,0.505644,0.13258,39.047619,-0.037204,0.1429,0.7619,5.904762,0.080401,14.619048,2.29408,6.576456,195.324205,0.240603
12,LOW SAMPLE,continuation_candidate,50,above,1,1d,4,0.451731,0.097788,42.75,-0.158565,0.25,0.75,5,0.065,16.75,2.389321,4.339217,51.75,0.648029
13,ok,continuation_candidate,50,cross,0.5,1d,43,0.451453,0.169967,40.55814,-0.071017,0.2093,0.5581,4.604651,0.058605,13.395349,2.141801,22.113291,127.910351,0.657474
14,ok,continuation_candidate,50,above,0.236,1d,5,0.449026,0.116335,42.4,-0.122212,0.2,1.0,5.8,0.068,17.4,2.716248,12.087871,46.40282,0.449581
15,ok,continuation_candidate,50,touch,0.236,1d,33,0.440642,0.255841,32.909091,0.003083,0.4242,0.8485,7.787879,0.108062,10.575758,2.404289,14.277237,135.278367,0.334963
16,ok,continuation_candidate,50,cross,0.236,1d,43,0.436069,0.158773,38.976744,-0.046123,0.2326,0.6279,5.116279,0.077522,13.72093,2.099176,18.898766,100.846726,0.43843
17,ok,continuation_candidate,50,above,0.382,1d,5,0.433402,0.175253,36.4,-0.178687,0.4,0.8,7.6,0.076,13.2,1.272199,6.048051,34.22712,0.469125
18,ok,continuation_candidate,50,cross,0.786,1d,38,0.432763,0.153958,39.868421,-0.072148,0.1842,0.6053,6.421053,0.084211,17.447368,2.355098,26.825104,182.816895,0.47154
19,ok,continuation_candidate,50,cross,0.618,1d,41,0.412824,0.167591,39.707317,-0.059508,0.1951,0.6341,5.146341,0.06223,14.634146,2.281547,16.946287,89.122922,0.594527
20,LOW SAMPLE,continuation_candidate,50,below,0.786,1d,2,0.387051,0.233901,26,0.075801,0.5,1.0,5.5,0.03,20,2.428481,3.219796,29.3774,0.379997
21,ok,continuation_candidate,50,cross,0.382,1d,42,0.374603,0.200153,36.309524,-0.084284,0.2857,0.5476,5.047619,0.068571,12.785714,1.910982,22.571168,145.929057,0.694637
22,LOW SAMPLE,continuation_candidate,50,above,0.5,1d,1,0.271694,0.10995,21,-0.107556,0.0,1.0,17,0.32,20,4.060219,2.382686,23.78,0.943095
23,LOW SAMPLE,continuation_candidate,50,below,0.382,1d,3,0.183364,0.398036,14,-0.263817,1.0,1.0,5.333333,0.06,10.333333,3.408908,14.184033,25.426667,0.32047
1,ok,failure_candidate,5,cross,1,1d,15,0.196805,0.064917,14,-0.004909,1.0,0.8,6.4,0.092,18.333333,2.08242,10.626407,45.504667,0.471635
2,ok,failure_candidate,5,cross,0.786,1d,18,0.195532,0.049396,9.611111,0.013701,1.0,0.4444,6.833333,0.102222,14.722222,2.594064,5.287013,101.179378,0.325413
3,ok,failure_candidate,5,cross,0.382,1d,30,0.193994,0.048858,21.4,0.054289,1.0,0.7,10.966667,0.175333,11.9,2.525679,4.213318,33.905987,0.443695
4,ok,failure_candidate,5,cross,0.618,1d,18,0.178068,0.052526,20.055556,-0.009059,1.0,0.8333,8.166667,0.137778,13.777778,2.431814,10.799203,33.273469,0.357122
5,ok,failure_candidate,5,cross,0.236,1d,25,0.17616,0.055754,17.64,0.026907,1.0,0.56,10.4,0.172233,12.8,2.682215,4.911737,82.489009,0.270405
6,ok,failure_candidate,5,cross,0.5,1d,26,0.175223,0.043239,18.692308,0.013616,1.0,0.7692,8.653846,0.14779,12.038462,2.617069,6.746458,105.26385,0.387291
7,LOW SAMPLE,failure_candidate,5,below,1,1d,1,0.126075,0.061909,3,-0.057446,1.0,1.0,2,0.02,20,2.336444,2.670433,31.04,0.240245
8,ok,failure_candidate,5,below,0.786,1d,6,0.110379,0.123276,23.5,-0.01844,1.0,1.0,14.5,0.18,16.833333,3.577186,2.523472,38.994667,0.3183
9,LOW SAMPLE,failure_candidate,5,above,0.236,1d,2,0.094001,0.149359,2,0.073157,1.0,1.0,4.5,0.05,20,3.73145,2.37791,32.1677,0.367726
10,LOW SAMPLE,failure_candidate,5,above,1,1d,1,0.094001,0.149359,2,0.073157,1.0,1.0,4,0.06,20,3.73145,2.37791,32.45,0.380236
11,ok,failure_candidate,5,touch,0.236,1d,5,0.089817,0.149994,8.6,0.048909,1.0,1.0,9.2,0.144,14.4,2.481317,3.813385,22.75992,0.292619
12,LOW SAMPLE,failure_candidate,5,touch,0.618,1d,1,0.088609,0.281255,6,0.077428,1.0,1.0,7,0.02,20,1.0617,8.114124,27.0004,0.278492
13,LOW SAMPLE,failure_candidate,5,below,0.236,1d,2,0.082226,0.107146,14.5,-0.011386,1.0,1.0,16.5,0.26,17.5,2.962762,3.011557,29.4687,0.207487
14,LOW SAMPLE,failure_candidate,5,touch,1,1d,3,0.081681,0.262247,18.333333,0.041087,1.0,1.0,6,0.013333,16,1.988782,5.971683,37.816667,0.382126
15,LOW SAMPLE,failure_candidate,5,touch,0.382,1d,4,0.078204,0.155294,9.75,0.033856,1.0,1.0,9.75,0.12,11.5,2.92153,4.100314,25.094,0.109745
16,ok,failure_candidate,5,touch,0.5,1d,6,0.048312,0.140831,26.5,0.015477,1.0,1.0,7.333333,0.058974,9.666667,2.224196,4.222976,514.2125,0.413843
17,LOW SAMPLE,failure_candidate,5,below,0.5,1d,2,0.046693,0.099659,28,0.012434,1.0,1.0,23,0.38,5.5,2.32724,16.689036,27.4275,0.370387
18,LOW SAMPLE,failure_candidate,5,touch,0.786,1d,2,0.041628,0.133608,3,0.010652,1.0,1.0,3.5,0.04,12,1.099326,8.910322,44.94635,0.406603
19,LOW SAMPLE,failure_candidate,5,below,0.382,1d,2,0.034337,0.128475,17.5,0.01589,1.0,1.0,17.5,0.32,16,1.338415,17.16929,20.53425,0.36363
1,LOW SAMPLE,failure_candidate,10,below,1,1d,1,0.280538,0.061909,3,-0.182796,1.0,1.0,2,0.02,20,2.336444,2.670433,31.04,0.240245
2,ok,failure_candidate,10,cross,0.5,1d,26,0.238279,0.058858,18.692308,0.008234,0.7692,0.9231,8.653846,0.14779,12.038462,2.617069,6.746458,105.26385,0.387291
3,ok,failure_candidate,10,cross,0.618,1d,18,0.236602,0.061489,20.055556,-0.046094,0.6667,0.8889,8.166667,0.137778,13.777778,2.431814,10.799203,33.273469,0.357122
4,ok,failure_candidate,10,cross,1,1d,15,0.235729,0.064917,14,-0.03904,1.0,0.8,6.4,0.092,18.333333,2.08242,10.626407,45.504667,0.471635
5,ok,failure_candidate,10,cross,0.382,1d,30,0.234572,0.068355,21.4,0.058716,0.7333,0.8333,10.966667,0.175333,11.9,2.525679,4.213318,33.905987,0.443695
6,ok,failure_candidate,10,cross,0.786,1d,18,0.222148,0.050942,9.611111,0.030326,0.8889,0.4444,6.833333,0.102222,14.722222,2.594064,5.287013,101.179378,0.325413
7,LOW SAMPLE,failure_candidate,10,touch,0.786,1d,2,0.221481,0.133608,3,-0.165416,1.0,1.0,3.5,0.04,12,1.099326,8.910322,44.94635,0.406603
8,ok,failure_candidate,10,cross,0.236,1d,25,0.211145,0.070491,17.64,0.040902,0.68,0.68,10.4,0.172233,12.8,2.682215,4.911737,82.489009,0.270405
9,LOW SAMPLE,failure_candidate,10,above,0.236,1d,2,0.159532,0.149359,2,0.059278,1.0,1.0,4.5,0.05,20,3.73145,2.37791,32.1677,0.367726
10,LOW SAMPLE,failure_candidate,10,above,1,1d,1,0.159532,0.149359,2,0.059278,1.0,1.0,4,0.06,20,3.73145,2.37791,32.45,0.380236
11,ok,failure_candidate,10,touch,0.236,1d,5,0.136568,0.149994,8.6,-0.002607,0.8,1.0,9.2,0.144,14.4,2.481317,3.813385,22.75992,0.292619
12,LOW SAMPLE,failure_candidate,10,below,0.382,1d,2,0.117111,0.128475,17.5,-0.002046,1.0,1.0,17.5,0.32,16,1.338415,17.16929,20.53425,0.36363
13,ok,failure_candidate,10,below,0.786,1d,6,0.115686,0.144531,23.5,0.052499,0.3333,1.0,14.5,0.18,16.833333,3.577186,2.523472,38.994667,0.3183
14,LOW SAMPLE,failure_candidate,10,touch,0.382,1d,4,0.113136,0.187176,9.75,0.072953,0.75,1.0,9.75,0.12,11.5,2.92153,4.100314,25.094,0.109745
15,LOW SAMPLE,failure_candidate,10,below,0.236,1d,2,0.090187,0.107146,14.5,0.010993,0.5,1.0,16.5,0.26,17.5,2.962762,3.011557,29.4687,0.207487
16,LOW SAMPLE,failure_candidate,10,touch,0.618,1d,1,0.088609,0.281255,6,0.037825,1.0,1.0,7,0.02,20,1.0617,8.114124,27.0004,0.278492
17,ok,failure_candidate,10,touch,0.5,1d,6,0.082138,0.140831,26.5,-0.009421,0.5,1.0,7.333333,0.058974,9.666667,2.224196,4.222976,514.2125,0.413843
