rank_in_candidate_horizon,sample_flag,auto_candidate,horizon,relation,fib_level,timeframe,n_events,mean_mfe,mean_mae,mean_post_bars_on_break_side,mean_forward_return,rate_close_on_approach_side,rate_crossed_back,mean_post_retest_count,mean_post_remained_near_level_rate,mean_pre_bars_approaching_level,mean_pre_distance_atr_norm,mean_pre_approach_choppiness,mean_at_wick_through_level,mean_at_close_distance_atr_norm
3,ok,continuation_candidate,20,cross,0.618,4h,10,0.07516,0.018479,40.8,0.017846,0.1,0.4,4.1,0.03,17,1.76888,7.33942,1384.441985,0.65856
4,ok,continuation_candidate,20,cross,0.786,4h,16,0.070944,0.025681,38.9375,0.020841,0.25,0.6875,6.375,0.06125,16.5,2.063225,11.383513,1191.48925,0.611657
5,ok,continuation_candidate,20,touch,0.5,4h,6,0.068655,0.008233,46.5,-0.02243,0.0,0.3333,5.5,0.046667,15.666667,3.649157,12.28766,740.5,0.467869
6,ok,continuation_candidate,20,below,0.786,4h,5,0.068063,0.012159,40.8,0.04325,0.2,0.8,3.8,0.036,18.6,2.744593,13.827335,1040.016959,0.415007
7,ok,continuation_candidate,20,touch,1,4h,14,0.064641,0.011995,43.285714,-0.002915,0.0714,0.6429,6,0.058571,14.642857,2.037188,36.420229,1244.785714,0.301098
8,ok,continuation_candidate,20,above,1,4h,6,0.064555,0.028044,18.666667,0.000489,0.6667,1.0,10,0.093333,14,1.976568,17.527612,2065.166667,0.588055
9,ok,continuation_candidate,20,touch,0.786,4h,11,0.062909,0.011145,27.909091,-0.010667,0.3636,0.7273,9.454545,0.09262,18,2.799435,12.253531,1554.657915,0.453765
10,ok,continuation_candidate,20,cross,0.236,4h,13,0.062493,0.019642,38.307692,-0.004653,0.2308,0.3077,4.307692,0.044615,16.923077,2.322986,3.769951,1268.662107,0.51526
11,LOW SAMPLE,continuation_candidate,20,touch,0.618,4h,4,0.059017,0.015672,36,0.042658,0.25,0.75,7.5,0.095,17.75,3.069523,5.170967,1305.201962,0.660514
12,LOW SAMPLE,continuation_candidate,20,below,0.236,4h,1,0.058157,0.013422,16,-0.010526,1.0,1.0,3,0.0,11,2.212052,3.026249,534.96,0.176383
13,ok,continuation_candidate,20,cross,0.5,4h,19,0.058019,0.019802,33.157895,0.018244,0.4211,0.5789,7.473684,0.074737,15.578947,1.764277,17.979912,1149.991998,0.476638
14,ok,continuation_candidate,20,cross,1,4h,32,0.056367,0.025182,35.59375,0.001997,0.2812,0.6562,6.0625,0.06625,17.75,2.110711,6.549542,1297.4375,0.559847
15,ok,continuation_candidate,20,cross,0.382,4h,22,0.053827,0.031381,36.363636,0.010015,0.3182,0.6818,7.454545,0.1,15.409091,1.349383,26.501437,1800.312,0.609785
16,ok,continuation_candidate,20,touch,0.236,4h,9,0.047561,0.017949,31.333333,-0.00234,0.4444,0.6667,9.555556,0.117778,13.555556,2.605823,6.699338,1323.604444,0.23533
17,LOW SAMPLE,continuation_candidate,20,below,0.5,4h,2,0.046912,0.011379,44.5,0.031754,0.0,0.5,7,0.09,12,1.907706,8.769894,2342.0,0.236272
18,ok,continuation_candidate,20,touch,0.382,4h,11,0.041762,0.017346,30.090909,0.013599,0.3636,1.0,13.727273,0.167273,16.181818,3.003653,7.193112,1086.123281,0.291289
19,LOW SAMPLE,continuation_candidate,20,below,0.382,4h,1,0.039425,0.005351,41,0.013495,0.0,1.0,15,0.2,14,2.866424,3.391997,1461.924,0.586829
20,LOW SAMPLE,continuation_candidate,20,above,0.5,4h,1,0.02744,0.003367,35,-0.008528,0.0,1.0,22,0.28,5,3.005671,3.801144,740.0,0.492345
