cluster_id,epsilon_log,representative_price,min_price,max_price,price_span_log,time_window_start,time_window_end,timeframe_count,level_count,timeframes,ratios,member_fib_ids
c065,0.005,6000.0,6000.0,6000.0,0.0,2018-01-28T00:00:00+00:00,2018-02-20T00:00:00+00:00,2,3,"1d,4h","0.0,1.0",fib_BTC-USD_1d_20180128T000000|fib_BTC-USD_1d_20180206T000000|fib_BTC-USD_4h_20180203T200000
c066,0.005,10480.0,10480.0,10480.0,0.0,2019-10-25T04:00:00+00:00,2019-11-25T04:00:00+00:00,2,3,"1d,4h","0.0,1.0",fib_BTC-USD_1d_20191026T000000|fib_BTC-USD_4h_20191025T040000|fib_BTC-USD_4h_20191026T000000
c067,0.005,6618.0,6618.0,6618.0,0.0,2019-10-26T00:00:00+00:00,2019-11-25T16:00:00+00:00,2,3,"1d,4h","0.0,1.0",fib_BTC-USD_1d_20191026T000000|fib_BTC-USD_4h_20191026T000000|fib_BTC-USD_4h_20191125T040000
c068,0.005,4000.0,4000.0,4000.0,0.0,2020-03-07T00:00:00+00:00,2020-03-13T12:00:00+00:00,2,3,"1d,4h","0.0,1.0",fib_BTC-USD_1d_20200307T000000|fib_BTC-USD_4h_20200311T200000|fib_BTC-USD_4h_20200313T000000
c069,0.005,6929.8,6929.8,6929.8,0.0,2020-03-16T00:00:00+00:00,2020-03-20T20:00:00+00:00,2,3,"1d,4h","0.0,1.0",fib_BTC-USD_1d_20200316T000000|fib_BTC-USD_4h_20200316T080000|fib_BTC-USD_4h_20200320T080000
c070,0.005,12097.0,12097.0,12097.0,0.0,2020-07-21T00:00:00+00:00,2020-08-02T04:00:00+00:00,2,3,"1d,4h","0.0,1.0",fib_BTC-USD_1d_20200721T000000|fib_BTC-USD_4h_20200727T080000|fib_BTC-USD_4h_20200802T040000
c071,0.005,29563.0,29563.0,29563.0,0.0,2021-05-10T00:00:00+00:00,2021-05-20T12:00:00+00:00,2,3,"1d,4h","0.0,1.0",fib_BTC-USD_1d_20210510T000000|fib_BTC-USD_4h_20210518T080000|fib_BTC-USD_4h_20210519T120000
c072,0.005,26529.0,26529.0,26529.0,0.0,2023-03-10T00:00:00+00:00,2023-03-15T16:00:00+00:00,2,3,"1d,4h","0.0,1.0",fib_BTC-USD_1d_20230310T000000|fib_BTC-USD_4h_20230313T080000|fib_BTC-USD_4h_20230314T120000
c073,0.005,60100.0,60100.0,60100.0,0.0,2026-01-01T00:00:00+00:00,2026-02-06T20:00:00+00:00,2,3,"1M,4h","0.0,1.0",fib_BTC-USD_1M_20260101T000000|fib_BTC-USD_4h_20260128T160000|fib_BTC-USD_4h_20260206T000000
c074,0.005,59200.0,59200.0,59200.0,0.0,2026-01-08T00:00:00+00:00,2026-06-07T20:00:00+00:00,2,3,"1w,4h","0.0,1.0",fib_BTC-USD_1w_20260108T000000|fib_BTC-USD_4h_20260601T000000|fib_BTC-USD_4h_20260605T160000
c075,0.005,5366.89,5365.3,5369.45,0.000772,2017-09-21T00:00:00+00:00,2017-12-14T00:00:00+00:00,2,3,"1w,4h","0.0,0.382,0.786",fib_BTC-USD_1w_20170921T000000|fib_BTC-USD_4h_20171016T200000|fib_BTC-USD_4h_20171021T120000
c076,0.005,6243.08,6239.57,6244.83,0.000843,2017-11-08T00:00:00+00:00,2017-11-12T04:00:00+00:00,2,3,"1d,4h","0.382,0.786",fib_BTC-USD_1d_20171108T000000|fib_BTC-USD_4h_20171108T160000|fib_BTC-USD_4h_20171111T200000
c077,0.005,8703.11,8696.7,8707.73,0.001267,2020-03-12T00:00:00+00:00,2021-04-08T00:00:00+00:00,2,3,"1w,4h","0.382,0.786,1.0",fib_BTC-USD_1w_20200312T000000|fib_BTC-USD_4h_20200509T160000|fib_BTC-USD_4h_20200526T160000
c078,0.005,14581.3,14566.26,14588.82,0.001548,2017-12-17T00:00:00+00:00,2017-12-22T12:00:00+00:00,2,3,"1d,4h","0.5,0.786",fib_BTC-USD_1d_20171217T000000|fib_BTC-USD_4h_20171217T120000|fib_BTC-USD_4h_20171222T000000
c079,0.005,6535.28,6531.54,6542.77,0.001718,2017-11-08T00:00:00+00:00,2017-11-12T04:00:00+00:00,2,3,"1d,4h","0.5,0.618",fib_BTC-USD_1d_20171108T000000|fib_BTC-USD_4h_20171108T160000|fib_BTC-USD_4h_20171111T000000
c080,0.005,10534.7,10521.27,10548.0,0.002537,2020-07-21T00:00:00+00:00,2020-08-02T04:00:00+00:00,2,3,"1d,4h","0.0,0.5,0.786",fib_BTC-USD_1d_20200721T000000|fib_BTC-USD_4h_20200727T080000|fib_BTC-USD_4h_20200802T040000
c081,0.005,6837.31,6831.42,6849.1,0.002586,2017-11-08T00:00:00+00:00,2017-11-12T04:00:00+00:00,2,3,"1d,4h","0.5,0.618",fib_BTC-USD_1d_20171108T000000|fib_BTC-USD_4h_20171108T160000|fib_BTC-USD_4h_20171110T000000
c082,0.005,15295.56,15278.03,15318.67,0.002657,2018-01-06T20:00:00+00:00,2018-01-11T04:00:00+00:00,2,3,"1d,4h","0.618,1.0",fib_BTC-USD_1d_20180107T000000|fib_BTC-USD_4h_20180106T200000|fib_BTC-USD_4h_20180109T080000
c083,0.005,8802.11,8792.27,8821.82,0.003355,2019-10-25T04:00:00+00:00,2019-11-25T04:00:00+00:00,2,3,"1d,4h","0.5,0.618",fib_BTC-USD_1d_20191026T000000|fib_BTC-USD_4h_20191025T040000|fib_BTC-USD_4h_20191026T000000
c084,0.005,7167.08,7151.06,7175.1,0.003356,2018-02-01T00:00:00+00:00,2018-02-15T00:00:00+00:00,2,3,"1w,4h","0.382,1.0",fib_BTC-USD_1w_20180201T000000|fib_BTC-USD_4h_20180203T200000|fib_BTC-USD_4h_20180207T040000
c085,0.005,7273.9,7257.21,7282.26,0.003447,2017-11-07T20:00:00+00:00,2017-11-12T04:00:00+00:00,2,3,"1d,4h","0.5,0.786",fib_BTC-USD_1d_20171108T000000|fib_BTC-USD_4h_20171107T200000|fib_BTC-USD_4h_20171108T160000
c086,0.005,14235.07,14210.78,14260.33,0.003481,2018-01-06T20:00:00+00:00,2018-01-11T04:00:00+00:00,2,3,"1d,4h","0.382,0.5",fib_BTC-USD_1d_20180107T000000|fib_BTC-USD_4h_20180106T200000|fib_BTC-USD_4h_20180109T080000
c087,0.005,5277.17,5264.6,5283.47,0.003578,2020-03-16T00:00:00+00:00,2020-03-20T08:00:00+00:00,2,3,"1d,4h","0.618,1.0",fib_BTC-USD_1d_20200316T000000|fib_BTC-USD_4h_20200316T080000|fib_BTC-USD_4h_20200319T000000
c088,0.005,14182.17,14159.0,14210.0,0.003595,2017-12-30T00:00:00+00:00,2018-01-06T00:00:00+00:00,2,3,"1d,4h","0.5,1.0",fib_BTC-USD_1d_20171230T000000|fib_BTC-USD_4h_20171231T200000|fib_BTC-USD_4h_20180104T120000
c089,0.005,23676.09,23630.0,23718.44,0.003736,2020-12-03T00:00:00+00:00,2021-01-07T00:00:00+00:00,2,3,"1w,4h","0.0,0.618,0.786",fib_BTC-USD_1w_20201203T000000|fib_BTC-USD_4h_20201216T040000|fib_BTC-USD_4h_20201220T200000
c090,0.005,5039.32,5033.0,5051.97,0.003762,2019-06-20T00:00:00+00:00,2021-04-08T00:00:00+00:00,2,3,"1w,4h","0.0,0.786,1.0",fib_BTC-USD_1w_20190620T000000|fib_BTC-USD_1w_20200312T000000|fib_BTC-USD_4h_20200316T120000
c091,0.005,14817.34,14792.39,14849.69,0.003866,2017-12-29T16:00:00+00:00,2018-01-06T00:00:00+00:00,2,3,"1d,4h","0.382,1.0",fib_BTC-USD_1d_20171230T000000|fib_BTC-USD_4h_20171229T160000|fib_BTC-USD_4h_20180104T120000
c092,0.005,46519.66,46417.0,46598.45,0.003902,2021-02-28T00:00:00+00:00,2021-03-13T00:00:00+00:00,2,3,"1d,4h","0.0,0.618,0.786",fib_BTC-USD_1d_20210228T000000|fib_BTC-USD_4h_20210228T160000|fib_BTC-USD_4h_20210303T120000
c093,0.005,63816.49,63639.84,63905.0,0.004158,2024-02-23T00:00:00+00:00,2024-03-14T00:00:00+00:00,2,3,"1d,4h","0.0,0.382",fib_BTC-USD_1d_20240223T000000|fib_BTC-USD_4h_20240226T120000|fib_BTC-USD_4h_20240228T000000
c094,0.005,3509.68,3501.62,3516.32,0.004189,2017-09-15T00:00:00+00:00,2017-09-19T00:00:00+00:00,2,3,"1d,4h","0.0,0.382,0.5",fib_BTC-USD_1d_20170915T000000|fib_BTC-USD_4h_20170915T120000|fib_BTC-USD_4h_20170916T040000
c095,0.005,123293.09,123120.0,123640.0,0.004215,2025-04-01T00:00:00+00:00,2025-08-01T00:00:00+00:00,2,3,"1M,4h","0.0,1.0",fib_BTC-USD_1M_20250401T000000|fib_BTC-USD_4h_20250710T120000|fib_BTC-USD_4h_20250714T040000
c096,0.005,34661.32,34565.25,34711.91,0.004234,2021-01-21T00:00:00+00:00,2021-04-08T00:00:00+00:00,2,3,"1w,4h","0.0,0.382,0.786",fib_BTC-USD_1w_20210121T000000|fib_BTC-USD_4h_20210129T120000|fib_BTC-USD_4h_20210201T000000
c097,0.005,18019.45,17985.61,18063.34,0.004313,2020-03-12T00:00:00+00:00,2021-04-08T00:00:00+00:00,2,3,"1w,4h","0.5,0.618",fib_BTC-USD_1w_20200312T000000|fib_BTC-USD_4h_20201118T040000|fib_BTC-USD_4h_20201128T080000
c098,0.005,22765.12,22698.0,22799.34,0.004455,2023-03-10T00:00:00+00:00,2023-03-14T12:00:00+00:00,2,3,"1d,4h","0.0,0.5,0.786",fib_BTC-USD_1d_20230310T000000|fib_BTC-USD_4h_20230312T120000|fib_BTC-USD_4h_20230313T080000
c099,0.005,60876.71,60765.33,61037.34,0.004466,2024-02-23T00:00:00+00:00,2024-03-14T00:00:00+00:00,2,3,"1d,4h","0.382,0.5,0.786",fib_BTC-USD_1d_20240223T000000|fib_BTC-USD_4h_20240228T000000|fib_BTC-USD_4h_20240305T160000
c100,0.005,13507.76,13474.46,13535.84,0.004544,2017-12-29T16:00:00+00:00,2018-01-06T00:00:00+00:00,2,3,"1d,4h","0.5,0.618",fib_BTC-USD_1d_20171230T000000|fib_BTC-USD_4h_20171229T160000|fib_BTC-USD_4h_20171231T200000
c101,0.005,7410.6,7391.45,7426.0,0.004664,2019-06-20T00:00:00+00:00,2020-03-12T00:00:00+00:00,2,3,"1w,4h","0.0,0.382,1.0",fib_BTC-USD_1w_20190620T000000|fib_BTC-USD_4h_20191025T040000|fib_BTC-USD_4h_20191125T040000
c102,0.005,49501.95,49396.38,49630.98,0.004738,2021-02-28T00:00:00+00:00,2021-03-13T00:00:00+00:00,2,3,"1d,4h","0.382,0.5,0.618",fib_BTC-USD_1d_20210228T000000|fib_BTC-USD_4h_20210303T120000|fib_BTC-USD_4h_20210306T160000
c103,0.005,64436.76,64257.27,64592.94,0.00521,2024-04-08T00:00:00+00:00,2024-04-17T00:00:00+00:00,2,3,"1d,4h","0.382,0.5",fib_BTC-USD_1d_20240408T000000|fib_BTC-USD_4h_20240413T160000|fib_BTC-USD_4h_20240415T080000
c104,0.005,2199.05,2194.4,2206.56,0.005525,2017-05-25T00:00:00+00:00,2017-06-11T00:00:00+00:00,2,3,"1d,4h","0.0,0.5,0.618",fib_BTC-USD_1d_20170525T000000|fib_BTC-USD_1d_20170527T000000|fib_BTC-USD_4h_20170527T080000
c105,0.005,9470.31,9443.63,9499.0,0.005846,2017-12-14T00:00:00+00:00,2018-12-06T00:00:00+00:00,2,3,"1w,4h","0.382,0.618,1.0",fib_BTC-USD_1w_20171214T000000|fib_BTC-USD_1w_20180201T000000|fib_BTC-USD_4h_20180203T200000
c106,0.005,67519.93,67308.91,67739.0,0.00637,2024-04-08T00:00:00+00:00,2024-04-17T00:00:00+00:00,2,3,"1d,4h","0.382,0.618,1.0",fib_BTC-USD_1d_20240408T000000|fib_BTC-USD_4h_20240412T120000|fib_BTC-USD_4h_20240413T160000
c107,0.005,917.26,913.99,920.5,0.007099,2017-01-05T00:00:00+00:00,2017-03-02T00:00:00+00:00,2,3,"1w,4h","0.5,0.618,1.0",fib_BTC-USD_1w_20170105T000000|fib_BTC-USD_4h_20170106T000000|fib_BTC-USD_4h_20170111T080000
c108,0.005,37363.04,37207.68,37493.55,0.007654,2022-01-24T00:00:00+00:00,2022-02-10T00:00:00+00:00,2,3,"1d,4h","0.0,0.5,0.618",fib_BTC-USD_1d_20220124T000000|fib_BTC-USD_4h_20220126T160000|fib_BTC-USD_4h_20220127T200000
c109,0.005,35351.29,35189.48,35504.0,0.008898,2022-01-24T00:00:00+00:00,2022-02-10T00:00:00+00:00,2,3,"1d,4h","0.5,0.786,1.0",fib_BTC-USD_1d_20220124T000000|fib_BTC-USD_4h_20220124T120000|fib_BTC-USD_4h_20220127T200000
c110,0.005,1166.0,1166.0,1166.0,0.0,2017-01-05T00:00:00+00:00,2017-01-12T00:00:00+00:00,2,2,"1d,4h",1.0,fib_BTC-USD_1d_20170105T000000|fib_BTC-USD_4h_20170105T040000
c111,0.005,985.55,985.55,985.55,0.0,2017-03-16T00:00:00+00:00,2017-05-18T00:00:00+00:00,2,2,"1w,4h","0.0,1.0",fib_BTC-USD_1w_20170316T000000|fib_BTC-USD_4h_20170322T000000
c112,0.005,2046.0,2046.0,2046.0,0.0,2017-06-12T00:00:00+00:00,2017-06-15T12:00:00+00:00,2,2,"1d,4h",0.0,fib_BTC-USD_1d_20170612T000000|fib_BTC-USD_4h_20170614T040000
c113,0.005,4114.0,4114.0,4114.0,0.0,2017-09-15T00:00:00+00:00,2017-09-19T04:00:00+00:00,2,2,"1d,4h","0.0,1.0",fib_BTC-USD_1d_20170915T000000|fib_BTC-USD_4h_20170919T000000
c114,0.005,7899.9,7899.9,7899.9,0.0,2017-11-08T00:00:00+00:00,2017-11-12T04:00:00+00:00,2,2,"1d,4h",1.0,fib_BTC-USD_1d_20171108T000000|fib_BTC-USD_4h_20171108T160000
c115,0.005,13559.57,13559.57,13559.57,0.0,2017-12-17T00:00:00+00:00,2017-12-22T12:00:00+00:00,2,2,"1d,4h",0.382,fib_BTC-USD_1d_20171217T000000|fib_BTC-USD_4h_20171217T120000
c116,0.005,15696.2,15696.2,15696.2,0.0,2017-12-17T00:00:00+00:00,2017-12-22T12:00:00+00:00,2,2,"1d,4h",0.618,fib_BTC-USD_1d_20171217T000000|fib_BTC-USD_4h_20171217T120000
